,chunk_id,text,level,likes,score,parent_id,combined_score,full_context
141,7372009515425746218,#neckpain #neckpainrelief #chiropractor #chiropractic #sarasota #posture #massage #guasha,post,578042.0,0.556204081,,5780.976204081,#neckpain #neckpainrelief #chiropractor #chiropractic #sarasota #posture #massage #guasha
263,7367937088777473313,Indian massage for just $0.50😳 #fyp #india #indian #headmassage #traveltiktok ,post,387007.0,0.43397069,,3870.50397069,Indian massage for just $0.50😳 #fyp #india #indian #headmassage #traveltiktok 
209,7348156814791396613,I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok ,post,130335.0,0.478565156,,1303.8285651560002,I use the multifunctional scalp massager almost every day now! ✨ #beautyfinds #amazonbeauty #massagelover #massage #scalpmassage #hairgrowth #makeupbrushes #brushcleaner #BeautyTok 
311,7384570962508860714,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil ",post,118098.0,0.393654346,,1181.373654346,"this is an automatic scalp massager and oiler! currently on a hair growth/regrowth journey and my scalp feels soooooo stimulated, will be posting updates on my hair growth!! LOVE #scalpmassage #scalpcare #hairoil #hairoiling #hairoilingroutine #hairgrowth #hairgrowthoil "
175,7367422015256431914,You can't afford not to buy this!! #tiktokshopfinds #fyp #dailydeals #heat #massage #massager #neckmassage #neckmassager #relief #stress #tiktokdeals #tiktokmademe #tiktokmadebuyit #tiktokshopdeals #TikTokShop #tiktokshopdeals #viral ,post,101741.0,0.518701196,,1017.928701196,You can't afford not to buy this!! #tiktokshopfinds #fyp #dailydeals #heat #massage #massager #neckmassage #neckmassager #relief #stress #tiktokdeals #tiktokmademe #tiktokmadebuyit #tiktokshopdeals #TikTokShop #tiktokshopdeals #viral 
189,7381570654853778721,"DO YOU SUFFER WITH TIGHT, TENDER AREAS IN YOUR TRAPS? THIS IS WHAT YOU NEED! #utilitymassage #sportsmassage #deeptissue #backpain #backpainrelief #tightback #neckpain #neckpainrelief #musclerelease #muscleknot ",post,78111.0,0.507136703,,781.617136703,"DO YOU SUFFER WITH TIGHT, TENDER AREAS IN YOUR TRAPS? THIS IS WHAT YOU NEED! #utilitymassage #sportsmassage #deeptissue #backpain #backpainrelief #tightback #neckpain #neckpainrelief #musclerelease #muscleknot "
86,7377341968092761377,🟡 #neckmassage#indianbarber #asmr #asmrbarber #relax,post,42484.0,0.606550395,,425.44655039500003,🟡 #neckmassage#indianbarber #asmr #asmrbarber #relax
359,7400057156642311432,My lola being appreciative of this foot massager gift 💞🫰🏼 WOULD NEVER BE ABLE TO LIVE WITHOUT MY NANAY 🥺💞 #fyp #fypシ゚viral #lola #gifts #giftideas #footmassager ,post,38330.0,0.36017105,,383.66017105000003,My lola being appreciative of this foot massager gift 💞🫰🏼 WOULD NEVER BE ABLE TO LIVE WITHOUT MY NANAY 🥺💞 #fyp #fypシ゚viral #lola #gifts #giftideas #footmassager 
140,7374819868564098335,ASMR Head & Neck Massage by Beautiful Dila #asmrmassage #asmrbarbermassageist #massage #usa🇺🇸 #pourtoi,post,37444.0,0.556935668,,374.996935668,ASMR Head & Neck Massage by Beautiful Dila #asmrmassage #asmrbarbermassageist #massage #usa🇺🇸 #pourtoi
93,7357091386283347242,Your double chin is about to disappear #doublechin #neckmassager #facemassager #massage ,post,32746.0,0.594120145,,328.05412014499996,Your double chin is about to disappear #doublechin #neckmassager #facemassager #massage 
309,7385603221907098913,🌟 Descubre la revolucionaria pistola de masaje de @Temu España  💆‍♂️💥 ✨ Alivia el dolor muscular y mejora la recuperación con la tecnología avanzada de Temu. 🏋️‍♀️⚽️ 🔗 Enlace en mío bio o pon el código dmq8234 para un regalo gratis con tu compra. ¡Solo para nuevos usuarios de la app! #temu #temues #temufinds #temuspain #temuespaña #haultemu,post,29781.0,0.396462917,,298.206462917,🌟 Descubre la revolucionaria pistola de masaje de @Temu España  💆‍♂️💥 ✨ Alivia el dolor muscular y mejora la recuperación con la tecnología avanzada de Temu. 🏋️‍♀️⚽️ 🔗 Enlace en mío bio o pon el código dmq8234 para un regalo gratis con tu compra. ¡Solo para nuevos usuarios de la app! #temu #temues #temufinds #temuspain #temuespaña #haultemu
266,7343422074930728238,So good #massage #parentsoftiktok #SelfCare #MomsofTikTok #mall #fypシ #fypシ゚viral #foryoupage ,post,28938.0,0.432918578,,289.812918578,So good #massage #parentsoftiktok #SelfCare #MomsofTikTok #mall #fypシ #fypシ゚viral #foryoupage 
218,7348764562579049760,Thursday Throwback to being on a beachside in Thailand having an incredibly relaxing head and neck massage #nomadbarber #nomad #neckmassage #headmassage #asmr #unintentionalasmr #longformcontent #fyp,post,26876.0,0.471148461,,269.231148461,Thursday Throwback to being on a beachside in Thailand having an incredibly relaxing head and neck massage #nomadbarber #nomad #neckmassage #headmassage #asmr #unintentionalasmr #longformcontent #fyp
150,7378089045445889286,nabudol nanaman tayo. parang may totoong tao na nagmamassage!! ang galing???  #philips #neckandshouldermassager   ,post,22294.0,0.550740182,,223.490740182,nabudol nanaman tayo. parang may totoong tao na nagmamassage!! ang galing???  #philips #neckandshouldermassager   
210,7399075770284477738,Send this to someone who needs it! #tiktokshopbacktoschool #tiktokshopmademebuyit #foryou #foryoupage #summergames #neckmassager #backmassager #viral #fy #shiatsu #shiatsumassager ,post,22047.0,0.478107303,,220.948107303,Send this to someone who needs it! #tiktokshopbacktoschool #tiktokshopmademebuyit #foryou #foryoupage #summergames #neckmassager #backmassager #viral #fy #shiatsu #shiatsumassager 
50,7356105661475736875,THIS IS A GAME CHANGER  #neckmassager #massage #TikTokShop #masajes #TikTokMadeMeBuyIt ,post,20999.0,0.634242654,,210.624242654,THIS IS A GAME CHANGER  #neckmassager #massage #TikTokShop #masajes #TikTokMadeMeBuyIt 
129,7353636564796296479,I think hes happy! #neckmassager #giftideasformen #giftsforhusband ,post,20913.0,0.56542021,,209.69542021,I think hes happy! #neckmassager #giftideasformen #giftsforhusband 
298,7353245498414730504,"Beginners guide to massage 💆🏻💆🏻‍♂️Learn these massage basics - effleurage, petrissage and frictions. All my massages routines are based on these 3 levels of massage. Make sure to save this for future reference. #howtomassage #massagebasics #effleurage #petrissage #frictions #deeptissuemassage #remedialmassage #relaxationmassage #MassageTechniques #learnmassage ",post,20052.0,0.403779954,,200.923779954,"Beginners guide to massage 💆🏻💆🏻‍♂️Learn these massage basics - effleurage, petrissage and frictions. All my massages routines are based on these 3 levels of massage. Make sure to save this for future reference. #howtomassage #massagebasics #effleurage #petrissage #frictions #deeptissuemassage #remedialmassage #relaxationmassage #MassageTechniques #learnmassage "
72,7377802398724574494,I didn’t realize how much tension I was carrying 😭 it feels so good #neckmassager #tensionheadaches #backmassage #relaxation ,post,19911.0,0.616169333,,199.726169333,I didn’t realize how much tension I was carrying 😭 it feels so good #neckmassager #tensionheadaches #backmassage #relaxation 
230,7395418312047332654,"The man who never stops talking is left speechless!! 😆😆 This is his honest review, 2 thumbs up 👍🏻👍🏻 #viralproducts2024 #ad #viralproducts #honestreview #viralneckmassager #neckmassager #massageshawl #ttshopdeals #ttshop #viral ",post,18280.0,0.462431669,,183.26243166900002,"The man who never stops talking is left speechless!! 😆😆 This is his honest review, 2 thumbs up 👍🏻👍🏻 #viralproducts2024 #ad #viralproducts #honestreview #viralneckmassager #neckmassager #massageshawl #ttshopdeals #ttshop #viral "
322,7371919724038606112,full video on my youtube channel 😴🪶 #asmrwhispering #asmrsoftspoken #asmrlongnails #asmrmassage #asmrscalpmassage #asmrheadmassage #asmrrelaxingmassage #asmrhair #asmrtofallasleep #asmrlighttouch #slowasmr #asmrhairplay #asmrbackmassage #asmrbackscratching #asmrbacktracing #asmrscalpscratching #asmrsoftwhispering #asmrneckmassage ,post,17377.0,0.387255311,,174.157255311,full video on my youtube channel 😴🪶 #asmrwhispering #asmrsoftspoken #asmrlongnails #asmrmassage #asmrscalpmassage #asmrheadmassage #asmrrelaxingmassage #asmrhair #asmrtofallasleep #asmrlighttouch #slowasmr #asmrhairplay #asmrbackmassage #asmrbackscratching #asmrbacktracing #asmrscalpscratching #asmrsoftwhispering #asmrneckmassage 
148,7390980779909598495,This shoulder knot keeps popping😮 #TTSACL #DealsForYouDays #dealsforyoudays #backmassager #neckmassager #shoulderpain #backpainrelief #neckpainrelief ,post,16881.0,0.553510189,,169.363510189,This shoulder knot keeps popping😮 #TTSACL #DealsForYouDays #dealsforyoudays #backmassager #neckmassager #shoulderpain #backpainrelief #neckpainrelief 
124,7401525060642655519,This would make a great gift for a blue collar man!  👷👷🔨#neckmassager #tiktokshopbacktoschool #selfcareroutine #bluecollarman #massagetherapy #bluecollarmen ,post,16717.0,0.572158098,,167.742158098,This would make a great gift for a blue collar man!  👷👷🔨#neckmassager #tiktokshopbacktoschool #selfcareroutine #bluecollarman #massagetherapy #bluecollarmen 
155,7365261242753240353,Relaxing neck scratching #relax #asmr #fyp #sounds #sleep #massage #asmrsounds #scratching #neck #longnails #hair ,post,16454.0,0.545948744,,165.08594874399998,Relaxing neck scratching #relax #asmr #fyp #sounds #sleep #massage #asmrsounds #scratching #neck #longnails #hair 
34,7384210988519656734,Do you see how this viral neck back massager got me feeling #massage #neckmassager #viralneckmassager #neckmassagers #TikTokMadeMeBuylt #SelfCare #necktension #neckpain #neckpainrelief ,post,16287.0,0.656191528,,163.526191528,Do you see how this viral neck back massager got me feeling #massage #neckmassager #viralneckmassager #neckmassagers #TikTokMadeMeBuylt #SelfCare #necktension #neckpain #neckpainrelief 
207,7361939295684398378,Full video on YouTube.com/emvyasmr #asmr #asmrmassage #asmrspa #realpersonasmr #asmrrealperson #neckattention #brushing @Chili B ASMR ,post,14517.0,0.480122983,,145.65012298300002,Full video on YouTube.com/emvyasmr #asmr #asmrmassage #asmrspa #realpersonasmr #asmrrealperson #neckattention #brushing @Chili B ASMR 
65,7379817509031136554,obsesssedddd @KNQZE #knqze #neckmassager,post,14085.0,0.620643497,,141.470643497,obsesssedddd @KNQZE #knqze #neckmassager
122,7355948563110677803,Replying to @user2412036615993 seriously thr best purchase this year 🥹 #facialmassage #neckmassage #neckmassager #facialmassager #guashatutorial #lymphaticdrainage #redlighttherapy #greenlighttherapy #wrinkles #doublechin #techthisout #springsavings ,post,13035.0,0.574577153,,130.924577153,Replying to @user2412036615993 seriously thr best purchase this year 🥹 #facialmassage #neckmassage #neckmassager #facialmassager #guashatutorial #lymphaticdrainage #redlighttherapy #greenlighttherapy #wrinkles #doublechin #techthisout #springsavings 
107,7383756840498122016,#asmr #neck #massage #relax #satisfying #sounds #sleep #scratching #fyp ,post,12399.0,0.586427808,,124.576427808,#asmr #neck #massage #relax #satisfying #sounds #sleep #scratching #fyp 
128,7382544035598142726,No more sakit ng likod😍 #kamangyanvlogs #kamangyan #shouldermassage  #neckmassage  #philips   #philipsmassager  #electricmassager  #goodthing #giftidea ,post,11963.0,0.565583825,,120.195583825,No more sakit ng likod😍 #kamangyanvlogs #kamangyan #shouldermassage  #neckmassage  #philips   #philipsmassager  #electricmassager  #goodthing #giftidea 
73,7379660480127831328,The massage ball roller is perfect for the neck and back #femaleasmr #asmr #massage #massagetherapy #asmrvideo #neckmassage #backmassage #asmrroleplay ,post,11385.0,0.616120577,,114.46612057700001,The massage ball roller is perfect for the neck and back #femaleasmr #asmr #massage #massagetherapy #asmrvideo #neckmassage #backmassage #asmrroleplay 
178,7343754107838106911,Replying to @Anna To Pretty Jackson All my friends get free massages when they come over now🤭 #neckmassager #backmassager #tiktokshopping #massager #shopwhm ,post,11267.0,0.514760256,,113.184760256,Replying to @Anna To Pretty Jackson All my friends get free massages when they come over now🤭 #neckmassager #backmassager #tiktokshopping #massager #shopwhm 
67,7376839111551831339,"@KNQZE 10/10 recommend if yiu deal with tension or jus neck,back or shoulder pain! #fyp #isistkeyah #knqze #neckmassager #neckpain #shoulderpain ",post,10839.0,0.620052457,,109.010052457,"@KNQZE 10/10 recommend if yiu deal with tension or jus neck,back or shoulder pain! #fyp #isistkeyah #knqze #neckmassager #neckpain #shoulderpain "
241,7403038085220519214,It’s on sale right now 🥳 you’re welcome 😘 #doublechin #beautyover40 #beautyhacks #womenover40 #neckmassager #facebeautydevice #beautytipsforwomen #tiktokshopfinds ,post,10690.0,0.450273395,,107.350273395,It’s on sale right now 🥳 you’re welcome 😘 #doublechin #beautyover40 #beautyhacks #womenover40 #neckmassager #facebeautydevice #beautytipsforwomen #tiktokshopfinds 
31,7386424035288141089,🥺#fyp #facemassager #neckmassager #viral ,post,10010.0,0.658488929,,100.75848892900001,🥺#fyp #facemassager #neckmassager #viral 
33,7349359354400820522,It feels amazing 🙌 #neckmassager #massage #feelgood #SelfCare #wellness #shiatsumassage ,post,9698.0,0.656931758,,97.636931758,It feels amazing 🙌 #neckmassager #massage #feelgood #SelfCare #wellness #shiatsumassage 
98,7377793566111714592,"Episode 10: I often get neck,chest,shoulder massage here #chest #massage #neckmassage #shouldermassage #headspa #relievepain #asmr #relievestress #asleep #sleep #satisfying #relaxing #massagerelax ",post,9404.0,0.591472924,,94.63147292400001,"Episode 10: I often get neck,chest,shoulder massage here #chest #massage #neckmassage #shouldermassage #headspa #relievepain #asmr #relievestress #asleep #sleep #satisfying #relaxing #massagerelax "
157,7359670424189291806,Click that link nowwww #TikTokMadeMeBuyIt #neckmassager #backmassager #shatsumassage #TikTokShop #buyitnow #SelfCare #fyp ,post,9317.0,0.540414512,,93.710414512,Click that link nowwww #TikTokMadeMeBuyIt #neckmassager #backmassager #shatsumassage #TikTokShop #buyitnow #SelfCare #fyp 
288,7370408548636888353,#footmassage #footmassager #massage #mamtasachdeva #travelwithmamta #fyp #foryoupage #unboxing #unbox #dubai ,post,9134.0,0.415200561,,91.75520056100001,#footmassage #footmassager #massage #mamtasachdeva #travelwithmamta #fyp #foryoupage #unboxing #unbox #dubai 
74,7343634641896672519,Neck minute 💆🏻‍♂️take some time to learn these techniques for someone who always has a sore neck. #neckpain #neckmassage #massage therapy #natethemassageguy #remedialmassage #howtomassage #massagetechnique #learnmassage #massagesydney ,post,8806.0,0.615762651,,88.675762651,Neck minute 💆🏻‍♂️take some time to learn these techniques for someone who always has a sore neck. #neckpain #neckmassage #massage therapy #natethemassageguy #remedialmassage #howtomassage #massagetechnique #learnmassage #massagesydney 
